avg_ep_avg_reward,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,config/batch_size,config/eps_decay,config/eps_end,config/eps_start,config/gamma,config/learning_rate,config/num_layers,config/num_neurons,config/replay_mem,config/tau,logdir
-25.61973128570128,211.90666031837463,False,,,1,56ebe806,9986f68f64ec440291eeda2e1700ec10,2023-04-27_19-44-52,1682624692,211.90666031837463,947954,b320ae3261b3,172.17.0.8,211.90666031837463,0,1,0.0102136135101318,512,210,0.03052598730040547,0.890005002559069,0.8790769425552906,0.0023088140517716488,6,16,256,0.0076680087613294375,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_56ebe806_970_batch_size=512,eps_decay=210,eps_end=0.0305,eps_start=0.8900,gamma=0.8791,learning_rate=0.0023,num_layers=6_2023-04-27_19-41-20"
-42.7687546215661,211.04058265686035,False,,,1,292ce070,7914f59fb64646159134860e4efa468c,2023-04-27_19-44-52,1682624692,211.04058265686035,984623,b320ae3261b3,172.17.0.8,211.04058265686035,0,1,0.0126228332519531,512,190,0.030777410780635166,0.8720498423569987,0.8604118589459968,0.0030144843617564607,7,16,256,0.008058696505906127,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_292ce070_971_batch_size=512,eps_decay=190,eps_end=0.0308,eps_start=0.8720,gamma=0.8604,learning_rate=0.0030,num_layers=7_2023-04-27_19-41-21"
-38.87000363113899,212.757155418396,False,,,1,858de048,832cbbe48bc74dc7a75acd25a1c47335,2023-04-27_19-44-54,1682624694,212.757155418396,1029166,b320ae3261b3,172.17.0.8,212.757155418396,0,1,0.029085636138916,512,190,0.03746588936838123,0.8652564562124299,0.8790769425552906,0.0031808211478880316,8,16,256,0.008058696505906127,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_858de048_972_batch_size=512,eps_decay=190,eps_end=0.0375,eps_start=0.8653,gamma=0.8791,learning_rate=0.0032,num_layers=8_2023-04-27_19-41-22"
-14.676104734868288,216.32365441322327,False,,,1,43ae26b5,b1b98b17805d4987b7de4b2aed50e030,2023-04-27_19-44-59,1682624699,216.32365441322327,995967,b320ae3261b3,172.17.0.8,216.32365441322327,0,1,0.0165221691131591,512,180,0.03940762737564212,0.8215313082476581,0.8572352132894401,0.0008942202618159405,8,64,256,0.00807594529506762,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_43ae26b5_973_batch_size=512,eps_decay=180,eps_end=0.0394,eps_start=0.8215,gamma=0.8572,learning_rate=0.0009,num_layers=8_2023-04-27_19-41-23"
-0.7152030723215216,213.3314769268036,False,,,1,10548d84,70388caa84c0436aa312378784543391,2023-04-27_19-44-57,1682624697,213.3314769268036,1021232,b320ae3261b3,172.17.0.8,213.3314769268036,0,1,0.0175566673278808,512,210,0.03297342181173182,0.8720498423569987,0.9377789003789295,0.0012515149567432536,7,64,256,0.008058696505906127,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_10548d84_974_batch_size=512,eps_decay=210,eps_end=0.0330,eps_start=0.8720,gamma=0.9378,learning_rate=0.0013,num_layers=7_2023-04-27_19-41-23"
-47.81037003539768,211.75681686401367,False,,,1,af09eeeb,14878e9497f0469582710f822433b58d,2023-04-27_19-44-55,1682624695,211.75681686401367,1027073,b320ae3261b3,172.17.0.8,211.75681686401367,0,1,0.0168268680572509,512,190,0.03849116236509183,0.8314621313738954,0.9036985403084027,0.0014976816726333091,7,16,256,0.0076680087613294375,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_af09eeeb_975_batch_size=512,eps_decay=190,eps_end=0.0385,eps_start=0.8315,gamma=0.9037,learning_rate=0.0015,num_layers=7_2023-04-27_19-41-24"
-47.87714542985307,210.4358386993408,False,,,1,bc0608dd,f407822514aa4c279d370b21adba3fe4,2023-04-27_19-44-54,1682624694,210.4358386993408,946659,b320ae3261b3,172.17.0.8,210.4358386993408,0,1,0.0095558166503906,512,210,0.03737904094380183,0.8318255120126546,0.9252269853301354,0.004757852497185288,7,16,256,0.007803394428138842,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_bc0608dd_976_batch_size=512,eps_decay=210,eps_end=0.0374,eps_start=0.8318,gamma=0.9252,learning_rate=0.0048,num_layers=7_2023-04-27_19-41-24"
-0.7040513896606765,213.68208599090576,False,,,1,5e1dcd27,8dbcad1ac8444a7c8d624c3116cdb125,2023-04-27_19-44-58,1682624698,213.68208599090576,970090,b320ae3261b3,172.17.0.8,213.68208599090576,0,1,0.012141466140747,512,210,0.039063246955945034,0.8060467563188183,0.9252269853301354,0.0014089733599192747,6,32,256,0.007602923075518544,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_5e1dcd27_977_batch_size=512,eps_decay=210,eps_end=0.0391,eps_start=0.8060,gamma=0.9252,learning_rate=0.0014,num_layers=6_2023-04-27_19-41-24"
-10.090364657665916,259.4909236431122,False,,,1,1a5c1222,ee127a87bdf94684b78a77cc1d36055f,2023-04-27_19-45-44,1682624744,259.4909236431122,949533,b320ae3261b3,172.17.0.8,259.4909236431122,0,1,0.0099940299987792,256,210,0.04188718622781225,0.8936761518514889,0.9300453506124335,0.0011285501934538925,5,48,256,0.0077166952837367485,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_1a5c1222_978_batch_size=256,eps_decay=210,eps_end=0.0419,eps_start=0.8937,gamma=0.9300,learning_rate=0.0011,num_layers=5_2023-04-27_19-41-24"
-0.8037478514923787,210.5269136428833,False,,,1,2b44c000,dca627bdfabe456d894457258429e502,2023-04-27_19-44-55,1682624695,210.5269136428833,1025355,b320ae3261b3,172.17.0.8,210.5269136428833,0,1,0.0274703502655029,512,210,0.03793624361001922,0.8318255120126546,0.9252269853301354,0.0007783633715082486,7,48,256,0.007071675809511837,"/home/coder/ray_results/trainable_2023-04-27_19-22-37/trainable_2b44c000_979_batch_size=512,eps_decay=210,eps_end=0.0379,eps_start=0.8318,gamma=0.9252,learning_rate=0.0008,num_layers=7_2023-04-27_19-41-24"
